"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Vit Krejci","Atl","G","24.4","4","14.1","15.4","21.9","7","0.571","7","0.571","7","0.286","0.5","0.527","4.5","1.3","1","0.8","0.3","1","5.8","5.5","6.8","5.1","95.1","108.1"
"","Mason Plumlee","Pho","F-C","34.7","4","17.4","7.5","12.1","8","0.625","7","0.857","0","0","0.857","0.808","4.3","5","1","0.3","0.5","0.3","9.3","5.3","10.3","6.4","166.2","95.1"
"","A.J. Green","Mil","G","25.1","4","7.7","16.6","8.7","2","1","0","0","10","0.5","0.75","0.781","4.3","0.5","0.8","0.3","0","0.3","4.8","5","5.5","6.2","145.2","117.9"
"","Rayan Rupert","Por","G-F","20.4","4","9.8","13.8","16.3","3","0.667","8","0.75","2","0.5","0.75","0.751","4.3","1.8","0.5","1","0","0.5","6","4.8","6.5","6.4","132.6","104.1"
"","Kyle Anderson","Gol","F-G","31.1","5","14.5","14.6","8.3","4","0.5","10","0.6","12","0.167","0.409","0.421","4","3.6","2.4","1.8","0.4","0.4","7.6","6.4","10","9","115.4","97"
"","Daniel Theis","Nor","F-C","32.6","5","16","13.9","21.4","8","0.75","12","0.583","6","0","0.389","0.465","4","4.4","2.2","0.4","1.2","1","8.4","6.2","10.6","8.5","99.9","103.5"
"","Jeremiah Robinson-Earl","Nor","F","24","5","9.8","12.4","22.3","3","1","5","0.8","5","0.6","0.85","0.883","4","1.8","0.8","0.2","0","0.6","5.8","4.8","6.6","7.3","141.8","111.3"
"","Peyton Watson","Den","G","22.1","4","15.5","16.5","4.7","6","0.833","13","0.308","7","0.143","0.275","0.353","4","2.5","0.8","0.3","0.8","0.3","6.5","4.8","7.3","5.2","89.1","107.4"
"","Kyle Filipowski","Uta","C","21","3","11.4","16.3","15.4","2","0","5","0.6","6","0.333","0.545","0.505","4","3","1.3","0.3","0","0.7","7","5.3","8.3","8.8","101","109.3"
"","Ajay Mitchell","Okc","G","22.4","4","14.7","12.6","11.6","2","0.5","13","0.462","2","0.5","0.5","0.504","4","2.3","1.8","1","0.3","0.5","6.3","5.8","8","6.9","103.7","92.4"
